username,comment,comment_time,like_counts
Jay的小跟班Chou,现在说 lbwnb 还有赞吗,07:56,(2)
聂罗索夫,再给我一次机会，我仍然会牵住你的手,07:50,(1)
银河星系小香,在呢,07:47,(0)
且尔2201,嘘，我来了,07:02,(0)
风终归去不见你,迟到点新年快乐呀,06:46,(0)
云霄_JKnA,"第51集｜#带上耳机#𝕻𝖍𝖔𝖓𝖐
红色是《BLOODSEEKER》
蓝色是《Одна》
绿色是《Sahara》
白色是《Tokyo Rain》
黄色是《POOR 2》
粉色是《Money in My Pockets》
紫色是《Move Your Body》
橙色是《Close Eyes》
黑色是《Kerosene》
#点个赞",06:39,(0)
荪鱼晗,来喽,05:35,(0)
是求不是要,点了，兄弟,05:10,(0)
吃人虍,在等一批2030年还再听歌的人,04:50,(2)
请不要18,笑死,04:22,(0)
请不要18,刷到你三回了,04:22,(0)
请不要18,天天过生日啊,04:22,(0)
请不要18,咋哪首歌里都有你,04:22,(0)
回忆似水斩不断l,我以为我不喜欢你了 直到那天晚上 我突然想起我们的点点滴滴 忍不住想哭 我还是喜欢你 但是人是会变的 我再也说不出感动你的话了,03:48,(2)
雾终私藏落寞,今天生曰，真的好绝望，有快两天没进食了，有朋友能援助我一下嘛 三十五就可以了 我把这几天给撑过去,03:44,(0)
TheoTsang_,全靠广州今天大雨来了,03:34,(0)
白-氿,阴阳师,03:25,(1)
诉冬冷,我爱你 晚安,03:12,(1)
青宸先生,我是目前最晚的,03:01,(0)
戴耳机开到最大声,王耀嵘,02:42,(0)
戴耳机开到最大声,我喜欢你 我会努力向你靠近,02:42,(0)
波波酱哇,抓紧我的手，别松手,02:41,(1)
波罗那雷fu,这哦,02:29,(0)
鳶囗-,这里呢,02:13,(0)
九龙头丿八一,"csgo 喜欢与队友一起配合，欢呼
崩坏三 喜欢里面形形色色的角色
我的世界 陪伴童年的游戏",02:09,(0)
清风明月_QFNB,这呢,01:50,(0)
无敌大捞佬,星露谷物语,01:50,(0)
他生日那天吻了他十七次,现在呢,01:44,(0)
绝味鸭脖_2051,恭喜,01:20,(0)
迁芝,可以赞赞我嘛 我想要赞赞徽章🎖️[多多难过][多多难过],01:20,(1)
終究打破困境,我们毕业啦,01:16,(1)
向往的次元,就算没结果 我也会继续喜欢你.,00:56,(0)
白苒o,王者荣耀 七年了,00:56,(0)
思引魂,战双帕弥什 战舰少女r FGO,00:55,(0)
LongKK02,CS,00:50,(0)
绝区零砌洞,南梁的结局是北朝,00:41,(3)
Moonlight_uOCz,光遇,00:30,(0)
0996821,不开心,00:15,(0)
叶散枫落,这个好像没有三年(勿喷),00:05,(0)
滔滔星月,巧了,00:03,(0)
gyllyy,匆匆！,00:02,(0)
迟到com,Vlog神曲,昨天23:58,(1)
听不懂她的爱,点起一根烟，赏此歌，心中浮现她的样子，可惜她已入人怀,昨天23:57,(1)
赵giu,时间带走了她的容貌，不变的却是那扣人心弦的歌声,昨天23:55,(5)
拷打王大豆_,10年了,昨天23:55,(0)
拷打王大豆_,2024年了……,昨天23:54,(0)
杰伦哥丶么么哒,记录一下手机充不了电,昨天23:49,(0)
48小时内发货,哈哈哈，谢谢啊，我觉得我活个六七十就差不多了,昨天23:47,(0)
李知恩_bOS8,[云沙发],昨天23:33,(0)
ArchieRenaux,和平精英,昨天23:28,(0)
拖貓帶狗的好孩子,my birthday,昨天23:28,(0)
ab1016,加油,昨天23:27,(0)
AstaLu,旷野之息和原神,昨天23:25,(0)
廖玖林,来啦,昨天23:19,(0)
廖玖林,服完兵役了吗,昨天23:19,(0)
sting孟,有人困在雨里 有人在雨中赏雨,昨天22:58,(3)
阿弋与十,两天了,昨天22:58,(0)
小帅_m1FY,把话说开 该走就走该留就留,昨天22:58,(2)
分则各自为王_PtLZ,为什么两个都标的原唱，但是感觉完全不一样。,昨天22:56,(3)
风油精重度依赖,原神,昨天22:51,(0)
露露露露西亚,"思露拳 思如泉涌！
念露剑 念念不忘!!
爱露掌 生生世世!!!
回溯、回溯、回溯！
76次的凋零、切裂黑夜！
三十年的独舞、鸦羽折光！
雾域中的炽烈、红莲绽放！
晓光中的告别、指挥官……我爱你。
我爱你，我的奇迹，我的……露西亚。",昨天22:47,(3)
無所謂妳又不愛我,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,昨天22:36,(1)
我家三玖天下第一_,装甲核心,昨天22:32,(0)
A3614C,正确回答：平等的深爱每一位， 虽然不太可能,昨天22:26,(0)
A3614C,虽然被后来者碰过了，但还是他的 嘎嘎嘎嘎嘎什么啊都是 日常就是一个又深情又多情的感觉 好扯淡,昨天22:26,(0)
A3614C,致Lincoln,昨天22:24,(0)
Firefly---mylover,这首歌已经听了无数遍了，心中还是那个叫LY的女孩，爱你，晚安😴,昨天22:22,(3)
七周三天,真的有用！！！,昨天22:20,(0)
姗姗来囖,记录一下手机也进水了,昨天22:20,(1)
只因绿,哈哈,昨天22:16,(0)
白昼温润中国摇滚,呼呼呼,昨天22:15,(0)
随风而行kybkq,,昨天22:14,(0)
随风而行kybkq,😳😳,昨天22:13,(0)
随风而行kybkq,点了,昨天22:13,(0)
随风而行kybkq,,昨天22:12,(0)
